#OTU ID	CTL_Ctrl1_Trip1	CTL_Ctrl2	CTL_Ctrl3	CTL_ExtractionCtrlPro_Trip1	CTL_NTC2	CTL_NegCtrl1_Trip2	CTL_NegCtrl2_Trip2	CTL_PCRCtrl_Trip1	TRIP4_EB1	TRIP4_EB2	TRIP4_EB3	TRIP4_EB4	TRIP4_EB5	TRIP4_SEB
845dac0b5b22d3263a9699ca5a7c4760	0	0	0	156	0	0	0	0	1278	0	0	0	0	0
d2a5ca31e940e6e0c305d65d7ca71ca0	0	20	24	1332	0	0	0	0	0	0	0	0	0	57
ef346f71042b43afe8dba98f6aff8921	0	0	0	0	0	0	0	0	1422	0	0	0	0	0
c52aa6da9cc7094ee0a9e627f25a24fd	0	0	0	1421	0	0	0	0	0	0	0	0	0	0
225ba880451c50ab5d7ee06633502541	0	587	252	439	0	78	63	0	0	0	0	0	0	0
4d0669f15df50675aff892f5caeae30b	0	508	754	0	0	83	60	0	0	0	0	0	0	0
76b9db95a8586026fe5f3d619e599087	0	0	0	0	1402	0	0	0	0	0	0	0	0	0
7179dbfcc505246d6ac5a63aec276d78	0	0	0	0	0	0	0	0	1399	0	0	0	0	0
3293aaddb29fc556b5aea699c61e3b7d	0	0	0	0	0	0	0	0	0	1397	0	0	0	0
ce1de948bbdc3b8deb47eb5cd2b57a5c	0	0	0	325	0	0	0	0	0	0	0	0	1071	0
74e9c93f8ab192db352e7881fd87870c	7	0	0	258	5	0	0	0	0	997	0	0	0	127
7c03d3d54a87852c1f427e1e9588dc78	0	109	0	0	0	0	0	0	1285	0	0	0	0	0
eb857ab1111c9156db6156bb51e36ed1	0	0	356	0	0	567	467	0	0	0	0	0	0	0
41b067a8fb4d06d2a1ddff1ec1307330	0	0	0	1389	0	0	0	0	0	0	0	0	0	0
0122f7d05af7c9d6cadffa22b3ad7f26	0	0	0	1388	0	0	0	0	0	0	0	0	0	0
61547946901ae77011075eef52f80888	0	0	0	0	0	0	0	0	0	1363	0	0	0	16
918ff709735c91d9949c093456cd2257	0	783	309	0	0	158	126	0	0	0	0	0	0	0
f3a6eff8d47f3f856443b95825fc8056	0	0	0	1375	0	0	0	0	0	0	0	0	0	0
3e892b9fa09f67c145cc20783b94e5a4	0	0	0	1372	0	0	0	0	0	0	0	0	0	0
ed33a1a7938984c9202b6c301c8fba99	0	0	0	0	0	0	0	0	1360	0	0	0	0	0
aebba30a9f0ab15de376c99d8de4cf6a	0	1359	0	0	0	0	0	0	0	0	0	0	0	0
db404f3e15bdfd62a52abf3f9678441e	0	0	0	0	0	0	0	0	0	1348	0	0	0	0
